Work Item type,Title 1,Title 2,Title 3,Estimate
Epic,Central Hub Web application,,,
,,,,
User story,,Live communication with onsite responder,,
Task,,,Implement in-app messaging system Ui with mobile application,
Task,,,Integrate priority telecom channels for communication,
Task,,,Build file attachment system for recieving media,
Task,,,Build file attachment system for recieving notes,
Task,,,implement real time status updates of responders,
Test Case,,,Verify message delivery over priority channales,
Test Case,,,Test file uploads for disaster condition photos,8
,,,,
,,,,
User story,,Resource managment and deployment,,
Task,,,Implement deploy team funcionality with GPS tracking,
Task,,,System for tracking medical supplies and equipment supplies,
Task,,,Real-time progress tracking for active rescue mission,
Test Case,,,Test alert for low stock of supplies,5
,,,,
,,,,
User story,,Real-time data visualization,,
Task,,,Implement interactive map with IoT sensor markers,
Task,,,Create real-time dashboard for air quality and sesmic data,
Task,,,Develop heatmap overlay for disaster-affected areas,
Test Case,,,Verify data refresh rate on the main dashboard,5
,,,,
,,,,
User story,,Post Disaster Reporting and Analytics,,
Task,,,Automated report generation for effectivness,
Test Case,,,Validate PDF export of disaster summary report,1
,,,,
User story,,System security and localization,,
Task,,,Implement English and Spanish UI localization,
Task,,,Setup end-to-end data encryption ,
Test Case,,,Verify UI language toggle between EN and ES,
Test Case,,,Confirm data encryption among the parties,4
,,,,
,,,,
Epic,Responder mobile app,,,
,,,,
,,,,
,,,,
User story,,Central Hub communication,,
Task,,,Implement in-app messaging system with the Central Hub,
Test Case,,,Integrate priority telecom channels for communication,
,,,Verify message delivery over priority channales,5
,,,,
User story,,Media upload feature,,
Task,,,Implement camera UI for direct media capture and upload,
Task,,,Integrate note upload feature,
Test Case,,,Verify live media upload,3
,,,,
User story,,Navigation guidance,,
Task,,,Intergate UI for turn-by-turn navigation ,
Task,,,Implement live GPS tracking of responder,
Test Case,,,Verify navigation accuracy ,3
,,,,
User story,,System security and localization,,
Task,,,"Implement English, Spanish, Arabic and Hindi UI localization",
Task,,,Setup end-to-end data encryption ,
Test Case,,,Verify UI language toggle among localizations,
Test Case,,,Confirm data encryption among the parties,3
,,,,
User story,,Live status update feature,,
Task,,,Integrate live status toggle feature,
Test Case,,,Ensure the status updates in real time,2
,,,,
Epic,IoT system implementation,,,
User story,,Live environmental monitoring and alerts,,
Task,,,Integrate seismic acitivity sensor treshold,
Task,,,Implement flood level alert treshold,
Task,,,Implement air quality treshlod,
Test Case,,,Verify alert triggers when sensor limits exceeded,4
,,,,
Epic,Data synchronizarion and reliability,,,
User story,,Offline data persistance,,
Task,,,Develop local storing database ,
Task,,,Create netwok monitoring status,
Test Case,,,Verify data is saved locally off network,3
,,,,
User Story,,Automatic synchronization ,,
Task,,,Implement queue system for outgoing reports when offline,
Test Case,,,Verify auto upload of queued data once network is back,2
